run_id,completed,predicates,total_clusters,avg_cluster_size,biggest_cluster_size,biggest_cluster,total_donors,donor_type,total_run_time,donor_cluster_ratio,settings_file
266,21:03.6,"(PartialPredicate: (sameThreeCharStartPredicate, name, CorporationName), SimplePredicate: (commonSixGram, name)) (LevenshteinCanopyPredicate: (1, zip), SimplePredicate: (alphaNumericPredicate, name)) (PartialIndexTfidfNGramCanopyPredicate: (0.2, name, Surname), SimplePredicate: (sortedAcronym, name)) (SimplePredicate: (commonFourGram, name), SimplePredicate: (firstIntegerPredicate, name)) (LevenshteinCanopyPredicate: (1, name), TfidfNGramCanopyPredicate: (0.8, name)) (PartialPredicate: (suffixArray, city, StreetName), SimplePredicate: (twoGramFingerprint, name))",11500,4.242782609,205,unitemized:396629,82661,CORP,911.1073191,7.187913043,dedupe_extension/settings_CORP_ext_4
265,05:52.2,"(SimplePredicate: (commonSixGram, name), SimplePredicate: (metaphoneToken, city)) (PartialPredicate: (commonThreeTokens, name, CorporationName), SimplePredicate: (sortedAcronym, name)) (SimplePredicate: (firstIntegerPredicate, name), SimplePredicate: (tokenFieldPredicate, state)) (PartialIndexTfidfTextCanopyPredicate: (0.6, name, Surname), TfidfTextCanopyPredicate: (0.8, name)) (PartialIndexLevenshteinCanopyPredicate: (1, name, Surname), PartialPredicate: (commonSixGram, name, Surname)) (SimplePredicate: (commonIntegerPredicate, street), TfidfNGramCanopyPredicate: (0.8, name)) (SimplePredicate: (fingerprint, name), SimplePredicate: (nearIntegersPredicate, name)) (SimplePredicate: (fingerprint, name), TfidfNGramCanopyPredicate: (0.6, street)) (PartialIndexTfidfNGramCanopyPredicate: (0.6, name, CorporationName), TfidfNGramCanopyPredicate: (0.6, name))",12623,4.129525469,317,fi-pac/ new york state food industry pac:343703,82661,CORP,3986.256649,6.548443318,dedupe_extension/settings_CORP_ext_3
264,59:25.7,"(SimplePredicate: (commonSixGram, name), SimplePredicate: (sameThreeCharStartPredicate, name)) (PartialIndexLevenshteinCanopyPredicate: (3, name, CorporationName), SimplePredicate: (alphaNumericPredicate, name)) (PartialPredicate: (alphaNumericPredicate, name, CorporationName), TfidfTextCanopyPredicate: (0.6, street)) (SimplePredicate: (commonThreeTokens, city), SimplePredicate: (hundredIntegersOddPredicate, name)) (SimplePredicate: (fingerprint, street), TfidfNGramCanopyPredicate: (0.6, name)) (TfidfNGramCanopyPredicate: (0.8, street), TfidfTextCanopyPredicate: (0.6, name)) (SimplePredicate: (firstIntegerPredicate, name), SimplePredicate: (firstIntegerPredicate, street)) (PartialIndexTfidfTextCanopyPredicate: (0.4, name, CorporationName), TfidfNGramCanopyPredicate: (0.8, street)) (PartialIndexLevenshteinCanopyPredicate: (2, name, CorporationName), TfidfNGramCanopyPredicate: (0.8, name))",11708,4.395456098,283,new tork bankers pac:371071,82661,CORP,3317.652437,7.060215237,dedupe_extension/settings_CORP_ext_2
263,04:07.9,"(SimplePredicate: (commonFourGram, name), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (alphaNumericPredicate, name), SimplePredicate: (commonTwoTokens, city)) (SimplePredicate: (commonIntegerPredicate, name), TfidfNGramCanopyPredicate: (0.2, name)) (SimplePredicate: (suffixArray, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (firstIntegerPredicate, name), TfidfNGramCanopyPredicate: (0.2, street)) (SimplePredicate: (wholeFieldPredicate, street), TfidfNGramCanopyPredicate: (0.6, name))",12213,4.22697126,147,vote / cope:398260,82661,CORP,2028.966788,6.768279702,dedupe_extension/settings_CORP_ext_1
262,30:18.8,"(PartialIndexLevenshteinCanopyPredicate: (3, city, StreetName), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (alphaNumericPredicate, name), SimplePredicate: (sameSevenCharStartPredicate, street)) (PartialIndexTfidfNGramCanopyPredicate: (0.6, name, CorporationName), SimplePredicate: (commonIntegerPredicate, name)) (PartialPredicate: (sameSevenCharStartPredicate, city, StreetName), SimplePredicate: (sortedAcronym, name)) (SimplePredicate: (suffixArray, name), TfidfNGramCanopyPredicate: (0.6, street)) (SimplePredicate: (wholeFieldPredicate, street), TfidfTextCanopyPredicate: (0.8, name))",12035,4.172081429,178,n.y.c. campaign finance board:369927,82661,CORP,3069.818975,6.86838388,dedupe_extension/settings_CORP_ext_0
261,38:01.7,"(PartialPredicate: (sameThreeCharStartPredicate, name, CorporationName), SimplePredicate: (commonSixGram, name)) (LevenshteinCanopyPredicate: (1, zip), SimplePredicate: (alphaNumericPredicate, name)) (PartialIndexTfidfNGramCanopyPredicate: (0.2, name, Surname), SimplePredicate: (sortedAcronym, name)) (SimplePredicate: (commonFourGram, name), SimplePredicate: (firstIntegerPredicate, name)) (LevenshteinCanopyPredicate: (1, name), TfidfNGramCanopyPredicate: (0.8, name)) (PartialPredicate: (suffixArray, city, StreetName), SimplePredicate: (twoGramFingerprint, name))",7823,4.09229196,575,fi-pac/ new york state food industry pac:245038,57603,CORP,435.8329332,7.363287741,dedupe_extension/settings_CORP_ext_4
260,30:45.5,"(SimplePredicate: (commonSixGram, name), SimplePredicate: (metaphoneToken, city)) (PartialPredicate: (commonThreeTokens, name, CorporationName), SimplePredicate: (sortedAcronym, name)) (SimplePredicate: (firstIntegerPredicate, name), SimplePredicate: (tokenFieldPredicate, state)) (PartialIndexTfidfTextCanopyPredicate: (0.6, name, Surname), TfidfTextCanopyPredicate: (0.8, name)) (PartialIndexLevenshteinCanopyPredicate: (1, name, Surname), PartialPredicate: (commonSixGram, name, Surname)) (SimplePredicate: (commonIntegerPredicate, street), TfidfNGramCanopyPredicate: (0.8, name)) (SimplePredicate: (fingerprint, name), SimplePredicate: (nearIntegersPredicate, name)) (SimplePredicate: (fingerprint, name), TfidfNGramCanopyPredicate: (0.6, street)) (PartialIndexTfidfNGramCanopyPredicate: (0.6, name, CorporationName), TfidfNGramCanopyPredicate: (0.6, name))",8632,3.936515292,248,fi-pac nys food industry:245036,57603,CORP,3619.713188,6.673192771,dedupe_extension/settings_CORP_ext_3
259,30:25.7,"(SimplePredicate: (commonSixGram, name), SimplePredicate: (sameThreeCharStartPredicate, name)) (PartialIndexLevenshteinCanopyPredicate: (3, name, CorporationName), SimplePredicate: (alphaNumericPredicate, name)) (PartialPredicate: (alphaNumericPredicate, name, CorporationName), TfidfTextCanopyPredicate: (0.6, street)) (SimplePredicate: (commonThreeTokens, city), SimplePredicate: (hundredIntegersOddPredicate, name)) (SimplePredicate: (fingerprint, street), TfidfNGramCanopyPredicate: (0.6, name)) (TfidfNGramCanopyPredicate: (0.8, street), TfidfTextCanopyPredicate: (0.6, name)) (SimplePredicate: (firstIntegerPredicate, name), SimplePredicate: (firstIntegerPredicate, street)) (PartialIndexTfidfTextCanopyPredicate: (0.4, name, CorporationName), TfidfNGramCanopyPredicate: (0.8, street)) (PartialIndexLevenshteinCanopyPredicate: (2, name, CorporationName), TfidfNGramCanopyPredicate: (0.8, name))",8058,4.274758004,980,n.y.s. assoc. of service stations and repair shops:263215,57603,CORP,1292.363245,7.148548027,dedupe_extension/settings_CORP_ext_2
258,08:53.4,"(SimplePredicate: (commonFourGram, name), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (alphaNumericPredicate, name), SimplePredicate: (commonTwoTokens, city)) (SimplePredicate: (commonIntegerPredicate, name), TfidfNGramCanopyPredicate: (0.2, name)) (SimplePredicate: (suffixArray, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (firstIntegerPredicate, name), TfidfNGramCanopyPredicate: (0.2, street)) (SimplePredicate: (wholeFieldPredicate, street), TfidfNGramCanopyPredicate: (0.6, name))",8414,4.115046351,619,n.y.s. cemeteries p.a.c.:263216,57603,CORP,792.8448153,6.84608985,dedupe_extension/settings_CORP_ext_1
257,55:40.4,"(PartialIndexLevenshteinCanopyPredicate: (3, city, StreetName), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (alphaNumericPredicate, name), SimplePredicate: (sameSevenCharStartPredicate, street)) (PartialIndexTfidfNGramCanopyPredicate: (0.6, name, CorporationName), SimplePredicate: (commonIntegerPredicate, name)) (PartialPredicate: (sameSevenCharStartPredicate, city, StreetName), SimplePredicate: (sortedAcronym, name)) (SimplePredicate: (suffixArray, name), TfidfNGramCanopyPredicate: (0.6, street)) (SimplePredicate: (wholeFieldPredicate, street), TfidfTextCanopyPredicate: (0.8, name))",8172,4.083455702,630,n.y.s. independent bankers pac:263217,57603,CORP,526.6758897,7.048825257,dedupe_extension/settings_CORP_ext_0
256,46:11.6,"(PartialPredicate: (sameThreeCharStartPredicate, name, CorporationName), SimplePredicate: (commonSixGram, name)) (LevenshteinCanopyPredicate: (1, zip), SimplePredicate: (alphaNumericPredicate, name)) (PartialIndexTfidfNGramCanopyPredicate: (0.2, name, Surname), SimplePredicate: (sortedAcronym, name)) (SimplePredicate: (commonFourGram, name), SimplePredicate: (firstIntegerPredicate, name)) (LevenshteinCanopyPredicate: (1, name), TfidfNGramCanopyPredicate: (0.8, name)) (PartialPredicate: (suffixArray, city, StreetName), SimplePredicate: (twoGramFingerprint, name))",3833,3.812679363,327,fi-pac(new york state food industry pac):133607,30516,CORP,163.3758979,7.961387947,dedupe_extension/settings_CORP_ext_4
255,43:28.1,"(SimplePredicate: (commonSixGram, name), SimplePredicate: (metaphoneToken, city)) (PartialPredicate: (commonThreeTokens, name, CorporationName), SimplePredicate: (sortedAcronym, name)) (SimplePredicate: (firstIntegerPredicate, name), SimplePredicate: (tokenFieldPredicate, state)) (PartialIndexTfidfTextCanopyPredicate: (0.6, name, Surname), TfidfTextCanopyPredicate: (0.8, name)) (PartialIndexLevenshteinCanopyPredicate: (1, name, Surname), PartialPredicate: (commonSixGram, name, Surname)) (SimplePredicate: (commonIntegerPredicate, street), TfidfNGramCanopyPredicate: (0.8, name)) (SimplePredicate: (fingerprint, name), SimplePredicate: (nearIntegersPredicate, name)) (SimplePredicate: (fingerprint, name), TfidfNGramCanopyPredicate: (0.6, street)) (PartialIndexTfidfNGramCanopyPredicate: (0.6, name, CorporationName), TfidfNGramCanopyPredicate: (0.6, name))",4251,3.62973418,131,fi-pac nys food industry pac:133606,30516,CORP,626.0044489,7.178546224,dedupe_extension/settings_CORP_ext_3
254,33:02.1,"(SimplePredicate: (commonSixGram, name), SimplePredicate: (sameThreeCharStartPredicate, name)) (PartialIndexLevenshteinCanopyPredicate: (3, name, CorporationName), SimplePredicate: (alphaNumericPredicate, name)) (PartialPredicate: (alphaNumericPredicate, name, CorporationName), TfidfTextCanopyPredicate: (0.6, street)) (SimplePredicate: (commonThreeTokens, city), SimplePredicate: (hundredIntegersOddPredicate, name)) (SimplePredicate: (fingerprint, street), TfidfNGramCanopyPredicate: (0.6, name)) (TfidfNGramCanopyPredicate: (0.8, street), TfidfTextCanopyPredicate: (0.6, name)) (SimplePredicate: (firstIntegerPredicate, name), SimplePredicate: (firstIntegerPredicate, street)) (PartialIndexTfidfTextCanopyPredicate: (0.4, name, CorporationName), TfidfNGramCanopyPredicate: (0.8, street)) (PartialIndexLevenshteinCanopyPredicate: (2, name, CorporationName), TfidfNGramCanopyPredicate: (0.8, name))",3959,3.976509219,516,n.y.ca.m.p.:143211,30516,CORP,389.0740051,7.708007072,dedupe_extension/settings_CORP_ext_2
253,26:33.0,"(SimplePredicate: (commonFourGram, name), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (alphaNumericPredicate, name), SimplePredicate: (commonTwoTokens, city)) (SimplePredicate: (commonIntegerPredicate, name), TfidfNGramCanopyPredicate: (0.2, name)) (SimplePredicate: (suffixArray, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (firstIntegerPredicate, name), TfidfNGramCanopyPredicate: (0.2, street)) (SimplePredicate: (wholeFieldPredicate, street), TfidfNGramCanopyPredicate: (0.6, name))",4156,3.834456208,367,n.y.s naral political action committee:143213,30516,CORP,151.384186,7.342637151,dedupe_extension/settings_CORP_ext_1
252,24:01.6,"(PartialIndexLevenshteinCanopyPredicate: (3, city, StreetName), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (alphaNumericPredicate, name), SimplePredicate: (sameSevenCharStartPredicate, street)) (PartialIndexTfidfNGramCanopyPredicate: (0.6, name, CorporationName), SimplePredicate: (commonIntegerPredicate, name)) (PartialPredicate: (sameSevenCharStartPredicate, city, StreetName), SimplePredicate: (sortedAcronym, name)) (SimplePredicate: (suffixArray, name), TfidfNGramCanopyPredicate: (0.6, street)) (SimplePredicate: (wholeFieldPredicate, street), TfidfTextCanopyPredicate: (0.8, name))",4056,3.78377712,294,"n.y.s. assoc. of pba's pac, inc.:143214",30516,CORP,189.537183,7.523668639,dedupe_extension/settings_CORP_ext_0
36,48:15.8,"(SimplePredicate: (sameSevenCharStartPredicate, name), SimplePredicate: (tokenFieldPredicate, name)) (SimplePredicate: (commonIntegerPredicate, name), TfidfNGramCanopyPredicate: (0.2, street)) (LevenshteinCanopyPredicate: (4, street), SimplePredicate: (commonIntegerPredicate, city)) (TfidfNGramCanopyPredicate: (0.6, name), TfidfNGramCanopyPredicate: (0.6, street)) (SimplePredicate: (suffixArray, name), TfidfNGramCanopyPredicate: (0.6, street))",19162,4.486013986,382,unitemized unitemized:483507,129832,CORP,7250.427141,6.775493164,dedupe_extension/settings_4
35,47:25.4,"(ExistsPredicate: (Exists, city), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (commonFourGram, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (alphaNumericPredicate, name), SimplePredicate: (sortedAcronym, city)) (SimplePredicate: (sortedAcronym, street), TfidfNGramCanopyPredicate: (0.8, name))",19688,4.392167818,299,unitemized:483508,129832,CORP,1585.336788,6.594473791,dedupe_extension/settings_3
34,21:00.0,"(SimplePredicate: (doubleMetaphone, state), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (alphaNumericPredicate, name), SimplePredicate: (firstIntegerPredicate, zip)) (SimplePredicate: (doubleMetaphone, name), TfidfNGramCanopyPredicate: (0.6, name)) (SimplePredicate: (commonFourGram, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (firstIntegerPredicate, name), TfidfNGramCanopyPredicate: (0.4, name))",20004,4.304739052,334,unitemized unitemized:483507,129832,CORP,1717.644825,6.49030194,dedupe_extension/settings_2
33,52:22.4,"(SimplePredicate: (sameFiveCharStartPredicate, name), TfidfNGramCanopyPredicate: (0.4, name)) (SimplePredicate: (sameThreeCharStartPredicate, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (twoGramFingerprint, street), TfidfNGramCanopyPredicate: (0.4, name)) (SimplePredicate: (commonThreeTokens, name), TfidfNGramCanopyPredicate: (0.8, street))",20720,3.796862934,331,unitemized unitemized:483507,129832,CORP,474.204515,6.266023166,dedupe_extension/settings_1
32,44:28.2,"(ExistsPredicate: (Exists, zip), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (commonTwoTokens, name), TfidfTextCanopyPredicate: (0.8, street)) (SimplePredicate: (alphaNumericPredicate, name), TfidfNGramCanopyPredicate: (0.2, street)) (LevenshteinCanopyPredicate: (3, name), SimplePredicate: (firstIntegerPredicate, name)) (SimplePredicate: (wholeFieldPredicate, street), TfidfNGramCanopyPredicate: (0.8, name)) (LevenshteinCanopyPredicate: (4, name), TfidfNGramCanopyPredicate: (0.8, street))",19102,4.491885666,292,unitemized:483508,129832,CORP,9564.475617,6.796775207,dedupe_extension/settings_0
31,01:58.0,"(SimplePredicate: (sameSevenCharStartPredicate, name), SimplePredicate: (tokenFieldPredicate, name)) (SimplePredicate: (commonIntegerPredicate, name), TfidfNGramCanopyPredicate: (0.2, street)) (LevenshteinCanopyPredicate: (4, street), SimplePredicate: (commonIntegerPredicate, city)) (TfidfNGramCanopyPredicate: (0.6, name), TfidfNGramCanopyPredicate: (0.6, street)) (SimplePredicate: (suffixArray, name), TfidfNGramCanopyPredicate: (0.6, street))",15850,4.336719243,320,unitemized unitemized:404309,106745,CORP,4726.857347,6.734700315,dedupe_extension/settings_4
30,43:11.1,"(ExistsPredicate: (Exists, city), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (commonFourGram, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (alphaNumericPredicate, name), SimplePredicate: (sortedAcronym, city)) (SimplePredicate: (sortedAcronym, street), TfidfNGramCanopyPredicate: (0.8, name))",16092,4.32351479,252,unitemized unitemized:404309,106745,CORP,1812.28296,6.633420333,dedupe_extension/settings_3
29,12:58.8,"(SimplePredicate: (doubleMetaphone, state), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (alphaNumericPredicate, name), SimplePredicate: (firstIntegerPredicate, zip)) (SimplePredicate: (doubleMetaphone, name), TfidfNGramCanopyPredicate: (0.6, name)) (SimplePredicate: (commonFourGram, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (firstIntegerPredicate, name), TfidfNGramCanopyPredicate: (0.4, name))",16246,4.288686446,278,unitemized unitemized:404309,106745,CORP,1884.292302,6.570540441,dedupe_extension/settings_2
28,41:34.5,"(SimplePredicate: (sameFiveCharStartPredicate, name), TfidfNGramCanopyPredicate: (0.4, name)) (SimplePredicate: (sameThreeCharStartPredicate, name), SimplePredicate: (wholeFieldPredicate, street)) (SimplePredicate: (twoGramFingerprint, street), TfidfNGramCanopyPredicate: (0.4, name)) (SimplePredicate: (commonThreeTokens, name), TfidfNGramCanopyPredicate: (0.8, street))",16838,3.728887041,293,unitemized unitemized:404309,106745,CORP,351.1516581,6.339529635,dedupe_extension/settings_1
27,35:43.3,"(ExistsPredicate: (Exists, zip), SimplePredicate: (sameSevenCharStartPredicate, name)) (SimplePredicate: (commonTwoTokens, name), TfidfTextCanopyPredicate: (0.8, street)) (SimplePredicate: (alphaNumericPredicate, name), TfidfNGramCanopyPredicate: (0.2, street)) (LevenshteinCanopyPredicate: (3, name), SimplePredicate: (firstIntegerPredicate, name)) (SimplePredicate: (wholeFieldPredicate, street), TfidfNGramCanopyPredicate: (0.8, name)) (LevenshteinCanopyPredicate: (4, name), TfidfNGramCanopyPredicate: (0.8, street))",15681,4.379440087,235,unitemized unitemized:404309,106745,CORP,8359.066649,6.807282699,dedupe_extension/settings_0
26,13:42.0,"(SimplePredicate: (sameSevenCharStartPredicate, name), SimplePredicate: (tokenFieldPredicate, name)) (SimplePredicate: (commonIntegerPredicate, name), TfidfNGramCanopyPredicate: (0.2, street)) (LevenshteinCanopyPredicate: (4, street), SimplePredicate: (commonIntegerPredicate, city)) (TfidfNGramCanopyPredicate: (0.6, name), TfidfNGramCanopyPredicate: (0.6, street)) (SimplePredicate: (suffixArray, name), TfidfNGramCanopyPredicate: (0.6, street))",12099,4.189685098,249,unitemized:319282,82661,CORP,5078.115249,6.832052236,dedupe_extension/settings_4
